Family,Genus,Species,Genus.Species,Registration number,mBd,Uj,Lj,Ed,Hd,PBd,TL,Bw,Mw,DFb,CFb,AFb,PelFb,Pfb,Perimeter
Notosudidae,Scopelosaurus,hamiltoni,Scopelosaurus_hamiltoni,P.046766,41.99,49.1,50.11,17.53,28.67,35.77,380,35.63,21.79,39.02,44,42.35,8.65,9.65,767
Scorpaenidae,Scorpaena,cardinalis,Scorpaena_cardinalis,P.037092,94.54,61.28,56.05,20.3,74.67,91.54,350,82.47,66.85,171,51,41.25,13.22,43.14,662
Scorpaenidae,Scorpaena,papillosa,Scorpaena_papillosa,P.048324,46.71,22.28,20.69,12.3,28.32,45.04,150,26.58,25.33,91,18,20.72,5.98,18.93,284
Carangidae,Seriola,lalandi,Seriola_lalandi,P.044121,118.7,51.97,51.02,21.22,76.31,109.18,550,68.64,44.34,265,87,132.94,17.34,22.86,1111
Carangidae,Seriola,rivoliana,Seriola_rivoliana,P.045522,147.56,47.22,44.87,22.84,81.87,127.31,545,66.14,36.87,241,97,131,21.13,19.89,993
Centrolophidae,Seriolella,brama,Seriolella_brama,P.003996,194.85,39.12,35.11,25.69,114.03,169.65,585,119,45.22,295,115,140,9.93,29.28,1246
Synaphobranchidae,Simenchelys,parasitica,Simenchelys_parasitica,P.044094,54.66,8.45,7.59,6.91,25.74,38.22,560,38.91,14.81,NA,744,NA,NA,7.49,1119
Labridae,Suezichthys,arquatus,Suezichthys_arquatus,P.050188,29.02,6.24,4.45,5.53,15.63,26.77,115.7,12.3,4.52,59.24,12.52,33.76,2.69,5.77,224
Labridae,Suezichthys,aylingi,Suezichthys_aylingi,P.053897,29.2,6.18,6.02,6.12,17.31,26.36,141.88,13.54,5.31,77.85,17.06,45.13,2.79,7.21,269
Synaphobranchidae,Synaphobranchus,affinis,Synaphobranchus_affinis,P.044083,36.95,38.66,37.04,9.91,19.91,35.67,520,20.98,19.68,NA,700,NA,NA,6.64,1027
Monacanthidae,Thamnaconus,analis,Thamnaconus_analis,P.050301,84.27,6.72,5.97,14.84,71.12,68.82,209,25.9,9.94,69.38,24,52.85,NA,8.09,421
Gempylidae,Thyrsites,atun,Thyrsites_atun,P.046811,109.41,90.36,96.45,27.35,77.72,105.87,896,62.37,45.8,490,101,130,19.8,20.22,1649
Tetraodontidae,Torquigener,altipinnis,Torquigener_altipinnis,P.052229,45.76,5.82,4.7,12.98,41.22,44.89,186,43.83,17.26,9.6,12.37,7.42,NA,13.37,342
Macrouridae,Trachyrincus,aphyodes,Trachyrincus_aphyodes,P.049413,128.48,73.35,66.94,54.42,95.48,139.2,692,120.54,80.61,50.12,799,NA,3.76,18.87,1503
Macrouridae,Trachyrincus,longirostris,Trachyrincus_longirostris,P.030155,50.07,28.59,26.45,32.5,37.82,47.77,350,51.28,28.22,24.66,480,NA,2.87,9.8,792
Moridae,Tripterophycis,gilchristi,Tripterophycis_gilchristi,P.044506,28.93,11.57,11.34,9.8,15.6,24.07,188,15.87,11.04,53.13,4.62,134,1.72,4.56,362
Mullidae,Upeneichthys,porosus,Upeneichthys_porosus,P.057407,89.41,32.53,26.8,17.52,66.33,88.72,292,41.95,28.07,105,55,40.82,13.34,18.01,628
Zeniontidae,Zenion,sp,Zenion_sp,P.052317,42.82,14.81,11.63,20.18,33.57,42.15,144,21.63,12.26,59,22,39,9.02,5.91,282
Zeidae,Zeus,faber,Zeus_faber,P.044254,164.78,69.32,66.89,30.07,124.53,155.39,387,40.43,28.78,199,47,136,9.17,15.71,792
